transaction,account,amount,cur
100000,101101,7.91,USD
100001,101101,10.29,USD
100002,101101,5.57,USD
100003,101101,8.88,USD
100004,101101,21.22,USD
100005,101101,12.60,USD
100006,101101,16.36,USD
100007,101101,18.10,USD
100008,101101,8.25,USD
100009,101102,10.41,EUR
100010,101101,7.07,USD
100011,101101,11.68,USD
100012,101101,0.30,USD
100013,101101,19.75,USD
100014,101101,8.67,USD
100015,101101,7.91,USD
100016,101102,9.19,EUR
100017,101101,18.75,USD
100018,101101,10.27,USD
100019,101102,8.32,EUR
100020,101101,18.45,USD
100021,101101,6.34,USD
100022,101102,10.06,EUR
100023,101101,20.94,USD
100024,101101,12.53,USD
100025,101101,19.36,USD
100026,101101,7.66,USD
100027,101101,8.68,USD
100028,101101,1.73,USD
100029,101102,15.88,EUR
100030,101102,6.78,EUR
100031,101102,13.70,EUR
100032,101101,10.07,USD
100033,101101,3.13,USD
100034,101101,13.05,USD
100035,101101,6.72,USD
100036,101101,11.61,USD
100037,101102,2.45,EUR
100038,101102,7.74,EUR
100039,101101,7.88,USD
100040,101101,4.36,USD
100041,101101,18.81,USD
100042,101101,10.17,USD
100043,101101,8.49,USD
100044,101101,5.30,USD
100045,101101,13.14,USD
100046,101102,9.33,EUR
100047,101101,11.72,USD
100048,101101,-1.54,USD
100049,101101,1.60,USD
100050,101101,18.37,USD
100051,101101,9.69,USD
100052,101101,2.61,USD
100053,101101,9.39,USD
100054,101101,18.92,USD
100055,101101,7.10,USD
100056,101101,7.97,USD
100057,101101,2.38,USD
100058,101101,12.49,USD
100059,101101,14.21,USD
100060,101101,10.63,USD
100061,101102,6.68,EUR
100062,101101,12.82,USD
100063,101102,14.02,EUR
100064,101101,10.98,USD
100065,101101,10.68,USD
100066,101101,10.06,USD
100067,101101,9.26,USD
100068,101101,10.57,USD
100069,101101,12.25,USD
100070,101101,2.17,USD
100071,101102,4.89,EUR
100072,101101,14.25,USD
100073,101102,14.21,EUR
100074,101102,8.37,EUR
100075,101101,6.83,USD
100076,101102,12.28,EUR
100077,101101,5.38,USD
100078,101101,8.41,USD
100079,101102,11.13,EUR
100080,101101,15.30,USD
100081,101101,12.52,USD
100082,101101,10.39,USD
100083,101102,3.39,EUR
100084,101102,8.17,EUR
100085,101101,9.16,USD
100086,101102,17.38,EUR
100087,101101,4.33,USD
100088,101101,10.99,USD
100089,101101,10.67,USD
100090,101101,10.19,USD
100091,101101,7.81,USD
100092,101102,6.30,EUR
100093,101101,13.28,USD
100094,101101,10.69,USD
100095,101102,11.41,EUR
100096,101101,2.80,USD
100097,101102,12.12,EUR
100098,101102,14.86,EUR
100099,101101,13.48,USD
100100,101102,14.86,EUR
100101,101101,12.29,USD
100102,101102,11.21,EUR
100103,101102,2.52,EUR
100104,101101,-0.30,USD
100105,101101,11.91,USD
100106,101102,14.65,EUR
100107,101102,4.38,EUR
100108,101101,6.03,USD
100109,101101,7.85,USD
100110,101101,-3.18,USD
100111,101102,4.32,EUR
100112,101101,9.97,USD
100113,101101,10.33,USD
100114,101101,11.30,USD
100115,101101,4.95,USD
100116,101101,9.20,USD
100117,101101,10.43,USD
100118,101101,11.01,USD
100119,101101,8.86,USD
100120,101101,2.34,USD
100121,101101,6.40,USD
100122,101101,7.75,USD
100123,101101,18.44,USD
100124,101101,10.77,USD
100125,101101,14.59,USD
100126,101101,1.35,USD
100127,101101,10.05,USD
100128,101101,8.27,USD
100129,101102,3.74,EUR
100130,101102,18.50,EUR
100131,101101,8.62,USD
100132,101101,3.15,USD
100133,101101,3.45,USD
100134,101102,13.62,EUR
100135,101101,6.05,USD
100136,101102,10.42,EUR
100137,101101,15.94,USD
100138,101101,15.67,USD
100139,101102,9.96,EUR
100140,101102,10.74,EUR
100141,101101,2.43,USD
100142,101101,6.65,USD
100143,101101,16.89,USD
100144,101101,7.86,USD
100145,101101,9.58,USD
100146,101102,21.26,EUR
100147,101101,0.23,USD
100148,101101,13.62,USD
100149,101101,16.65,USD
100150,101102,7.50,EUR
100151,101102,15.03,EUR
100152,101101,18.80,USD
100153,101101,2.98,USD
100154,101101,8.48,USD
100155,101102,7.56,EUR
100156,101101,2.13,USD
100157,101101,5.44,USD
100158,101102,8.70,EUR
100159,101101,7.28,USD
100160,101102,5.65,EUR
100161,101101,11.76,USD
100162,101101,9.36,USD
100163,101101,15.37,USD
100164,101102,18.33,EUR
100165,101101,10.29,USD
100166,101101,16.77,USD
100167,101101,7.22,USD
100168,101101,6.68,USD
100169,101101,9.27,USD
100170,101101,7.76,USD
100171,101101,11.52,USD
100172,101101,12.28,USD
100173,101101,4.73,USD
100174,101102,15.27,EUR
100175,101101,8.55,USD
100176,101101,2.62,USD
100177,101101,17.30,USD
100178,101101,10.71,USD
100179,101101,21.10,USD
100180,101101,4.45,USD
100181,101101,6.94,USD
100182,101101,12.03,USD
100183,101102,15.34,EUR
100184,101101,8.45,USD
100185,101101,10.69,USD
100186,101101,13.61,USD
100187,101101,11.65,USD
100188,101101,14.64,USD
100189,101101,2.46,USD
100190,101101,10.02,USD
100191,101102,14.14,EUR
100192,101101,0.83,USD
100193,101102,3.04,EUR
100194,101101,9.70,USD
100195,101101,11.69,USD
100196,101102,7.80,EUR
100197,101101,10.74,USD
100198,101101,11.19,USD
100199,101101,-0.08,USD
100200,101101,15.10,USD
100201,101101,12.15,USD
100202,101102,13.50,EUR
100203,101101,11.84,USD
100204,101101,11.86,USD
100205,101101,3.86,USD
100206,101101,10.28,USD
100207,101102,12.04,EUR
100208,101101,10.42,USD
100209,101102,12.57,EUR
100210,101101,17.71,USD
100211,101101,8.61,USD
100212,101101,14.94,USD
100213,101101,8.31,USD
100214,101102,6.11,EUR
100215,101101,11.20,USD
100216,101101,16.40,USD
100217,101101,11.29,USD
100218,101101,9.28,USD
100219,101101,11.05,USD
100220,101101,11.30,USD
100221,101102,5.13,EUR
100222,101102,0.19,EUR
100223,101101,8.94,USD
100224,101101,10.19,USD
100225,101101,17.76,USD
100226,101101,-0.07,USD
100227,101101,14.11,USD
100228,101101,14.07,USD
100229,101101,11.10,USD
100230,101101,9.27,USD
100231,101101,5.10,USD
100232,101101,14.79,USD
100233,101101,11.05,USD
100234,101101,5.94,USD
100235,101101,11.45,USD
100236,101101,12.01,USD
100237,101101,3.01,USD
100238,101101,4.93,USD
100239,101101,8.88,USD
100240,101101,11.65,USD
100241,101102,9.32,EUR
100242,101101,11.66,USD
100243,101102,17.48,EUR
100244,101101,19.07,USD
100245,101101,4.09,USD
100246,101101,3.99,USD
100247,101102,6.22,EUR
100248,101102,14.12,EUR
100249,101101,-1.04,USD
100250,101102,3.17,EUR
100251,101101,19.00,USD
100252,101101,15.96,USD
100253,101101,9.77,USD
100254,101101,16.13,USD
100255,101101,7.38,USD
100256,101101,5.41,USD
100257,101102,6.01,EUR
100258,101101,9.54,USD
100259,101101,2.50,USD
100260,101101,13.88,USD
100261,101101,8.59,USD
100262,101101,13.53,USD
100263,101101,11.99,USD
100264,101101,9.23,USD
100265,101102,4.29,EUR
100266,101102,9.04,EUR
100267,101101,8.44,USD
100268,101102,7.70,EUR
100269,101101,5.50,USD
100270,101101,11.61,USD
100271,101101,6.48,USD
100272,101101,17.17,USD
100273,101101,7.37,USD
100274,101101,15.71,USD
100275,101101,16.73,USD
100276,101102,5.60,EUR
100277,101102,2.37,EUR
100278,101101,16.55,USD
100279,101102,14.62,EUR
100280,101101,8.37,USD
100281,101102,18.13,EUR
100282,101101,11.10,USD
100283,101101,11.75,USD
100284,101101,14.16,USD
100285,101101,12.15,USD
100286,101101,14.37,USD
100287,101101,8.68,USD
100288,101101,15.35,USD
100289,101101,16.01,USD
100290,101101,13.89,USD
100291,101101,12.97,USD
100292,101101,2.99,USD
100293,101101,12.77,USD
100294,101102,10.30,EUR
100295,101102,8.98,EUR
100296,101101,2.76,USD
100297,101101,1.56,USD
100298,101101,18.45,USD
100299,101101,5.00,USD
100300,101101,8.09,USD
100301,101101,8.91,USD
100302,101101,9.17,USD
100303,101101,5.02,USD
100304,101102,12.55,EUR
100305,101101,12.13,USD
100306,101101,4.47,USD
100307,101101,11.84,USD
100308,101101,16.38,USD
100309,101101,14.08,USD
100310,101102,16.74,EUR
100311,101102,7.67,EUR
100312,101101,8.75,USD
100313,101101,6.76,USD
100314,101101,8.09,USD
100315,101101,8.94,USD
100316,101101,5.28,USD
100317,101101,21.85,USD
100318,101102,15.41,EUR
100319,101101,16.07,USD
100320,101101,2.09,USD
100321,101101,9.52,USD
100322,101102,0.97,EUR
100323,101101,16.11,USD
100324,101101,15.77,USD
100325,101101,5.95,USD
100326,101101,8.36,USD
100327,101102,3.92,EUR
100328,101101,22.29,USD
100329,101101,-4.06,USD
